Category,nitrogen oxides (NO2),sulphur oxides (SО2),ammonia (NH3),non-methane volatile organic compounds ,carbon monoxide (CO),"particulate matters  2,5 mkm >10 mkm  (PM10)",particulate matters < 2.5мкм (PM2_5),"hydrofluoro-carbons, tonnes CO2-equivalent (HFCs)","sulphur hexafluoride, tonnes CO2-equivalent (SF6)","nitrous oxide, tonnes (N2O)","methane,    tonnes          (CH4)","carbon dioxide (without emissions from biomass used as a fual), thsd.tonnes  (СО2)","carbon dioxide from biomass uses as a fual, thsd.tonnes (СО2_Bio)",Unnamed: 14,Unnamed: 15, 
"Agriculture, forestry and fishing ",1286.659,1499.099,11888.814,1669.841,6510.211,3942.067,582.041,‒,‒,106961.66988019177,399654.05733550293,4311.98037208247,97.4,,,
Mining and quarrying,11909.117,13530.134,94.315,5823.107,69703.864,12933.654,667.525,‒,‒,1151.9538583425863,1015436.8467438754,5792.04402355626,‒,,,
Manufacturing ,60405.838,61148.83,6238.827,29806.004,689521.214,13900.209,3904.625,887357.1,24312.3,6753.416359297951,65827.04060665905,75259.91281345904,286.2,,,
"Electricity, gas, steam and air conditioning supply ",146785.733,977446.574,22.775,7105.094,17170.504,37994.677,27668.108,‒,‒,1308.763930407238,730921.6935214776,98341.46143141313,3613.131790278925,,,
"Water supply; sewerage, waste management and remediation activities ",439.614,620.618,237.501,46.579,1052.224,271.881,15.048,‒,‒,3561.4359211647684,418858.1102422834,286.9421210268899,5.031570680004127,,,
Construction ,183.659,215.6,‒,173.632,2179.562,307.18,26.989,‒,‒,32.585106488191705,116.58364918371333,578.0870551749462,‒,,,
Wholesale and retail trade; repair of motor vehicles and motorcycles ,8523.984,6023.83,19.762,2009.708,1078.42,91.824,8.115,‒,‒,66.69786071542067,725.0,1292.4500928022403,8.692710600798106,,,
"Transport, warehousing, postal and courier activities                ",9055.984,843.198,51.565,3429.899,9317.916,786.678,709.057,‒,‒,599.9943573879763,767.119652663656,9008.87443206781,35.586579474913556,,,
Accommodation and food service activities ,355.634,10349.722,0.328,53.801,137.211,1968.914,0.789,‒,‒,1.050201113181848,22.333329170598233,53.82245459189033,4.0473806091273214,,,
Information and telecommunications ,13.028,9.026,‒,1.79,22.759,0.001,- ,‒,‒,3.2984860147312,24.016072070599165,74.1747451410941,2.956953672262468,,,
Financial and insurance activities ,19.273,18.427,0.462,11.203,10.945,11.721,0.003,‒,‒,3.392909405459954,21.793226925436105,77.5693232358717,2.5560945595901714,,,
Real estate activities ,103.543,54.636,20.277,1010.743,242.218,15.432,5.759,‒,‒,4.5648879956185295,91.7332901301327,243.80838340723506,18.928543728951976,,,
"Professional, scientific and technical activities ",80.168,232.537,97.573,118.131,281.458,38.688,100.344,‒,‒,11.497769844530604,103.87823655474783,320.4458362125882,14.800751447612216,,,
Administrative and support service activities ,56.894,44.823,5.874,18.576,111.773,3.891,3.471,‒,‒,9.961387686426198,102.54977658422374,250.32641173697272,9.34373706294284,,,
Public administration and defence; compulsory social security ,333.056,2610.53,0.298,720.749,3175.898,395.378,360.196,‒,‒,21.084663005200476,101.01989629879175,774.981809844655,‒,,,
 Education ,134.172,658.01,2.821,96.085,598.743,313.266,43.57,‒,‒,6.701503343079748,176.39022138236115,485.1001145066046,42.26186476391788,,,
"Human health activities, residential care activities and social work  ",506.517,1031.582,102.813,117.911,1648.732,142.692,25.414,‒,‒,499.4085385846448,189.7009334158121,522.2765118385971,37.80682240901004,,,
"Arts, entertainment and recreation ",14.741,26.11,1.927,1.975,57.957,12.251,‒,‒,‒,0.7510579398230034,11.554081055268052,34.36521425148238,2.5582449360134407,,,
Other service activities ,10.713,0.628,0.02,9.58,27.927,,0.028,‒,‒,0.48451858516469337,4.043035647970933,10.742606323442713,0.36996812828418024,,,
Domestic Transportation,82372.91181199999,6776.8,6.498788,105375.02296799999,667849.3832502001,8197.577388,‒,‒,‒,753.1902677277741,4473.2166565275165,11875.178339389007,‒,,,
Household Heating,26475.65863005695,411.12673615812474,‒,29736.405738790625,112965.90934090623,6904.6126988000005,‒,‒,‒,126.7,11555.7,25474.3,1649.8,,,
