Category,nitrogen oxides (NO2),sulphur oxides (SО2),ammonia (NH3),non-methane volatile organic compounds ,carbon monoxide (CO),"particulate matters  2,5 mkm >10 mkm  (PM10)",particulate matters < 2.5мкм (PM2_5),"hydrofluoro-carbons, tonnes CO2-equivalent (HFCs)","sulphur hexafluoride, tonnes CO2-equivalent (SF6)","nitrous oxide, tonnes (N2O)","methane,    tonnes          (CH4)","carbon dioxide (without emissions from biomass used as a fual), thsd.tonnes  (СО2)","carbon dioxide from biomass uses as a fual, thsd.tonnes (СО2_Bio)"
"Agriculture, forestry and fishing ",13882.368082226081,2335.6574389177204,10053.7746923844,7469.911450121224,51388.27367448777,6859.989991977131,2703.8879999999995,‒,‒,110793.3569195013,341540.92378780973,4342.124092776415,122.754795723047
Mining and quarrying,17626.83448858623,8384.831874679772,23.919684732773078,7556.295124345551,47130.72371779645,13858.919813353177,994.1839999999996,‒,‒,1246.9195823326286,789256.7601541367,6206.957003404576,0.042459999999996
Manufacturing ,67602.67330780327,47843.734734218786,6992.019253183498,27985.7762746785,676507.4168871108,16593.756737078475,2773.4560000000015,143185.31470804723,355.107356814924,8022.858556584303,179256.97110470233,70714.61173926483,340.57492286797606
"Electricity, gas, steam and air conditioning supply ",106273.41046697432,540802.9312906112,24.830198429772196,5561.967836765523,28394.984962318835,19929.90429683214,13772.212,‒,42804.0582177352,1156.4894607481772,1138732.7661514601,85892.00856934712,5501.17085560325
"Water supply; sewerage, waste management and remediation activities ",1912.3775378950704,699.6060914183317,356.3755449356535,938.2811598841026,7612.1515458051645,557.1179227393928,351.59999999999985,257648.74063549016,‒,3212.248642765648,399186.5615191055,284.90592885853835,2.780388860258926
Construction ,5189.323950900844,821.9146080262992,0.08916895025360286,2433.7285539576715,15383.598076572545,1418.082580615588,32.895999999999994,20097.70543775435,‒,40.81192613708327,169.79449402853697,748.9102019534203,‒
Wholesale and retail trade; repair of motor vehicles and motorcycles ,6626.151089441197,853.5459517510731,8.155651164918135,5155.734368503401,29097.12187326011,1822.6088210528096,38.377,60476.9144725228,‒,65.20102089923759,499.6726826272152,1204.1697892614093,5.194116303740897
"Transport, warehousing, postal and courier activities                ",34003.575580427496,4738.082924548128,63.20693580669852,12420.902267483307,73883.65711375131,8834.959039961643,1019.5519999999997,22188.372503955048,‒,600.0260729995745,863.5032801963853,7940.484659053107,26.746053341580154
Accommodation and food service activities ,67.94482770916274,13.668926219417392,0.046324583692972134,63.47414799473942,463.14520515898533,8.248688656179239,4.807,236451.40739653117,‒,0.788040994936422,6.174075896341549,22.762142038885912,2.4256009374408354
Information and telecommunications ,258.54374864469406,35.53614261127744,0.020271555347266965,277.9984150036652,1943.3957539329692,38.198669133774146,0.044,‒,‒,2.866952692296181,13.197136277055723,51.649128249174325,1.7487685578839447
Financial and insurance activities ,331.3123945498052,47.4507073472491,0.015241289196810257,236.16725656949814,1578.9729451486264,59.557967553115134,0.289,‒,‒,3.1413553744834344,11.897799845982316,61.257324731464976,1.9852870471339226
Real estate activities ,426.522132737731,50.41848284201278,5.079349814750267,2153.586522401666,2409.535634821978,146.27303400060975,15.501999999999997,87987.24646200417,‒,4.051934804646492,29.333095238169655,128.81354826247392,14.61454060954643
"Professional, scientific and technical activities ",531.2577842313755,186.7885190205268,4.67435900536866,577.5820103670185,4038.907041418992,112.11619649619672,39.68799999999999,‒,‒,6.044783582394245,38.23773011893535,110.64092837182045,2.8991670448442752
Administrative and support service activities ,991.1278048137501,159.37806306901481,22.243892256645402,809.644144872196,5959.500990295633,170.53218178295202,49.652,‒,‒,11.35852185723948,106.0835248379603,240.57396413944886,9.654541832838914
Public administration and defence; compulsory social security ,1838.55245057614,2726.06545199912,0.47000866369705424,2074.806351085618,13989.005182111709,559.7254636025135,223.177,99840.9171949459,‒,19.16872843899759,103.72154800764841,682.8748198993941,‒
 Education ,416.8028464321968,738.9801844267347,5.713497879776948,380.412416694263,3072.8070614948674,176.50583789447683,135.853,87987.24646200417,‒,4.5003111463309375,30.87737512045246,199.32266821214782,30.601258296392533
"Human health activities, residential care activities and social work  ",934.5728288129344,996.9663987706041,5.89155016463408,1039.152986208369,7579.354888013013,323.2150824877933,163.94099999999997,175974.49292400834,‒,349.9205485962084,73.99494444313483,291.81687616961995,28.191815166375978
"Arts, entertainment and recreation ",59.01785623778554,17.997209522962986,2.042616198925013,57.52290206360623,383.26004649915717,17.364250782093283,5.552,‒,‒,0.6685325183285977,3.6416941199745234,21.03387163500387,2.5279352225798557
Other service activities ,5.4,1.95,0.042,2.088,45.526,1.087,0.74,‒,‒,‒,‒,0.0,‒
Domestic Transportation,84062.4,7711.5,5.4,105156.5,821228.9,8438.3,‒,‒,‒,653,4372.536561900021,10521.4,‒
Household Heating,19612.0,296.6,‒,26373.6,99009.2,6324.3,‒,‒,‒,108.4,871.5,18005.5,1755.3
